trait,condition,token,mean_tfidf,discriminating_score,rank
cEXT,human_high,her,0.02894976706636883,0.013415794422357283,1
cEXT,human_high,she,0.030437336270271693,0.011232456082025038,2
cEXT,human_high,she is,0.015461879096504285,0.008414687417395131,3
cEXT,human_high,that she,0.008852437527862777,0.006516934889849946,4
cEXT,human_high,together,0.011944795899118343,0.0064375308476533055,5
cEXT,human_high,wanted,0.012028178182421951,0.006313920792827801,6
cEXT,human_high,weird,0.013247512086489109,0.006132353137537069,7
cEXT,human_high,gotten,0.008263127947063489,0.005979916885988143,8
cEXT,human_high,she has,0.007872454341678768,0.005821057396011933,9
cEXT,human_high,is going,0.013415630407751464,0.005677020229338145,10
cEXT,human_high,life is,0.006620579807688645,0.005520091238159566,11
cEXT,human_high,mean,0.015969167874259938,0.005364270567297038,12
cEXT,human_high,me of,0.007365388304500049,0.005247700293696766,13
cEXT,human_high,can wait,0.010489130595915582,0.005202583512698105,14
cEXT,human_high,phone,0.011479331239056643,0.0051672070237411645,15
cEXT,human_high,crazy,0.011176473647930911,0.005130591102731484,16
cEXT,human_high,woke up,0.005904517618398151,0.005095428596545993,17
cEXT,human_high,wait,0.013575663015434076,0.005058121709128331,18
cEXT,human_high,our,0.013999433756554111,0.005008881162343631,19
cEXT,human_high,he has,0.007849707385663363,0.004946217925252466,20
cEXT,human_low,rest,0.00871054786132859,0.006148769710178097,1
cEXT,human_low,my thoughts,0.009500041160343283,0.006013997618765513,2
cEXT,human_low,person,0.015546379061117641,0.005729845773647456,3
cEXT,human_low,while,0.013303383845352098,0.005548312116874966,4
cEXT,human_low,free,0.008312905474470618,0.005475372316542144,5
cEXT,human_low,taking,0.009426165526428356,0.005470891379665585,6
cEXT,human_low,of what,0.006354399039854611,0.005379950497835447,7
cEXT,human_low,lazy,0.006771056799978384,0.005276652113385578,8
cEXT,human_low,should,0.01966925332656323,0.005236696787586348,9
cEXT,human_low,movie,0.007829041273991049,0.005121526862557121,10
cEXT,human_low,good,0.023077595146713,0.005064280624066667,11
cEXT,human_low,rest of,0.007568712088650377,0.005041538103504565,12
cEXT,human_low,into,0.01848189630001437,0.004994683860389893,13
cEXT,human_low,what am,0.008392941335291084,0.004930226477515454,14
cEXT,human_low,the rest,0.007568712088650377,0.00489484038333732,15
cEXT,human_low,writing,0.016802750787541957,0.004811486139502216,16
cEXT,human_low,something to,0.006493530025621487,0.004760718577236344,17
cEXT,human_low,that will,0.008926820907328784,0.004735793258757691,18
cEXT,human_low,nothing,0.012446174095617307,0.004661410998438139,19
cEXT,human_low,easier,0.006974851671332185,0.004615468369273153,20
cNEU,human_high,thinking,0.01942831057554713,0.008850723363760606,1
cNEU,human_high,money,0.01370204990552517,0.008268584812053812,2
cNEU,human_high,my head,0.010307215361005055,0.005385513411796031,3
cNEU,human_high,check,0.007865679652897627,0.0053658573276144424,4
cNEU,human_high,don like,0.008190033907564677,0.00533812541297421,5
cNEU,human_high,now and,0.008462003559092124,0.005258678456965192,6
cNEU,human_high,of what,0.006355415445385582,0.005165049821081444,7
cNEU,human_high,these,0.013941931011236953,0.005156322577010862,8
cNEU,human_high,go home,0.007033945057908488,0.005121764546686487,9
cNEU,human_high,supposed,0.010419945970005248,0.005000732849039322,10
cNEU,human_high,but don,0.01115871631261867,0.004956648622343502,11
cNEU,human_high,person,0.015269184519721753,0.004944414522563443,12
cNEU,human_high,want,0.02620836771957093,0.004932078111479426,13
cNEU,human_high,what am,0.008480108477941145,0.0049057613080770515,14
cNEU,human_high,more,0.0229625777206732,0.004896269884782027,15
cNEU,human_high,matter,0.009538890471117733,0.004796155117588399,16
cNEU,human_high,each,0.010870294196261055,0.004794001767091127,17
cNEU,human_high,want to,0.02331097159242515,0.0046463089193170305,18
cNEU,human_high,lack,0.004607498879161796,0.004607498879161796,19
cNEU,human_high,head,0.011332787385711343,0.004591184364734394,20
cNEU,human_low,bit,0.00997965564606014,0.007775903133086297,1
cNEU,human_low,minute,0.009450039506535739,0.005963744076087395,2
cNEU,human_low,mind,0.01677375529894592,0.005858937979394491,3
cNEU,human_low,seem,0.011546307687752331,0.00576599296777512,4
cNEU,human_low,awesome,0.008368225868286703,0.005633731302405435,5
cNEU,human_low,seem to,0.009310787166724883,0.00534258130750568,6
cNEU,human_low,only been,0.006501315566454857,0.005266465539286399,7
cNEU,human_low,excited about,0.007279348701483134,0.005175452409920434,8
cNEU,human_low,by the,0.006919397652284297,0.00514445624981494,9
cNEU,human_low,seems like,0.007938564978857322,0.0049735188089203635,10
cNEU,human_low,the best,0.009046789159794398,0.0049637717545085586,11
cNEU,human_low,class,0.020822600034525372,0.004876388762638774,12
cNEU,human_low,into,0.01848459241121213,0.004798677540027765,13
cNEU,human_low,year,0.012895182912749771,0.004756491969789759,14
cNEU,human_low,against,0.005154189948451572,0.004740952005479677,15
cNEU,human_low,for my,0.009858090138976447,0.004704449872740883,16
cNEU,human_low,half,0.008691662024454892,0.00469252008090217,17
cNEU,human_low,lot of,0.01375162475372231,0.004637003187272143,18
cNEU,human_low,goal,0.004960335942330712,0.00461064434339968,19
cNEU,human_low,game,0.01016384024991143,0.004595667850146121,20
cAGR,human_high,and the,0.013208485967883002,0.006592438409965278,1
cAGR,human_high,really need,0.0076444170795538086,0.005964283511762742,2
cAGR,human_high,guess,0.020628228056389288,0.005883107579755539,3
cAGR,human_high,home and,0.006942529075286697,0.005845385426907272,4
cAGR,human_high,studying,0.009305497268910183,0.005742197740025596,5
cAGR,human_high,will be,0.015386778800380344,0.005683839725329215,6
cAGR,human_high,that is,0.01689660792889732,0.00551708961075628,7
cAGR,human_high,ok,0.010514293693242211,0.005435900960431796,8
cAGR,human_high,mind,0.016369821104206414,0.005353270334611261,9
cAGR,human_high,awesome,0.007995028505828585,0.005179741329988553,10
cAGR,human_high,it has,0.008905476474593998,0.005046170466657883,11
cAGR,human_high,would be,0.016137659569751574,0.004964472810774981,12
cAGR,human_high,home,0.018363036507550227,0.004869787997305062,13
cAGR,human_high,will,0.026555357647331235,0.004849936180777427,14
cAGR,human_high,the university,0.005483600188999451,0.004630168506373697,15
cAGR,human_high,excited,0.009452933475955994,0.004626145986966736,16
cAGR,human_high,everything,0.015443826088274371,0.004587258718504848,17
cAGR,human_high,put,0.011853834948014955,0.004548946821123704,18
cAGR,human_high,to go,0.020004965460071123,0.0045077664713328285,19
cAGR,human_high,boring,0.007299218987144607,0.004500933033091309,20
cAGR,human_low,thinking,0.01878489075337052,0.007159706726767294,1
cAGR,human_low,yeah,0.00938196932010568,0.006540810565750078,2
cAGR,human_low,except,0.010088492740335986,0.006486895299358802,3
cAGR,human_low,don really,0.009491521139208122,0.0062168687276115695,4
cAGR,human_low,close,0.010563793006181139,0.005994825439235528,5
cAGR,human_low,you,0.028419905660002888,0.005978778689943839,6
cAGR,human_low,wouldn,0.01078813749205312,0.005872242721800209,7
cAGR,human_low,more,0.023544627298976453,0.005736532527726539,8
cAGR,human_low,each other,0.009174062227800392,0.005729925081124265,9
cAGR,human_low,each,0.01149180487653374,0.005714434105549049,10
cAGR,human_low,except for,0.0069855697879296665,0.005668999087369986,11
cAGR,human_low,sucks,0.009250736415724343,0.005471790929424473,12
cAGR,human_low,what want,0.006789085090314273,0.005432483651551866,13
