trait,condition,token,mean_tfidf,discriminating_score,rank
cEXT,humans,really,0.03027172870736068,0.03027172870736068,1
cEXT,humans,was,0.02840707607940181,0.02840707607940181,2
cEXT,humans,now,0.026673964457894498,0.026673964457894498,3
cEXT,humans,get,0.0266632335954282,0.0266632335954282,4
cEXT,humans,he,0.02606494304372476,0.02606494304372476,5
cEXT,humans,you,0.025404117770056606,0.025404117770056606,6
cEXT,humans,going,0.02431601492633726,0.02431601492633726,7
cEXT,humans,would,0.024255883846372693,0.024255883846372693,8
cEXT,humans,am,0.031144846106710835,0.022869028863258395,9
cEXT,humans,do,0.02950038229251872,0.022255106509821373,10
cEXT,humans,much,0.022109015737909396,0.022109015737909396,11
cEXT,humans,going to,0.021112629315573873,0.021112629315573873,12
cEXT,humans,good,0.020753039839962375,0.020753039839962375,13
cEXT,humans,had,0.02059451063998592,0.02059451063998592,14
cEXT,humans,don,0.02847655680884291,0.020562109563684275,15
cEXT,humans,to do,0.02027056178705306,0.02027056178705306,16
cEXT,humans,so,0.03471636789647428,0.01987124751425784,17
cEXT,humans,school,0.01916439639384046,0.01916439639384046,18
cEXT,humans,have to,0.019061979546436646,0.019061979546436646,19
cEXT,humans,him,0.0189547650362123,0.0189547650362123,20
cEXT,high,can hardly,0.11212767624095853,0.11212767624095853,1
cEXT,high,the beach,0.10796916728992449,0.10796916728992449,2
cEXT,high,energy,0.10438233201818875,0.10438233201818875,3
cEXT,high,planning,0.098721054718654,0.098721054718654,4
cEXT,high,world is,0.098721054718654,0.098721054718654,5
cEXT,high,beach,0.098721054718654,0.098721054718654,6
cEXT,high,filled with,0.09631792337668227,0.09631792337668227,7
cEXT,high,spot,0.09631792337668227,0.09631792337668227,8
cEXT,high,experiences,0.09414402664822864,0.09414402664822864,9
cEXT,high,dreams,0.09033374815678476,0.09033374815678476,10
cEXT,high,concert,0.088643445205431,0.088643445205431,11
cEXT,high,group,0.088643445205431,0.088643445205431,12
cEXT,high,the music,0.08706981080541178,0.08706981080541178,13
cEXT,high,hardly,0.08706981080541178,0.08706981080541178,14
cEXT,high,and can,0.08650045354426265,0.08650045354426265,15
cEXT,high,filled,0.0855977741326425,0.0855977741326425,16
cEXT,high,me in,0.08291130185437776,0.08291130185437776,17
cEXT,high,our,0.07761470779771597,0.07761470779771597,18
cEXT,high,about this,0.076349661561372,0.076349661561372,19
cEXT,high,sounds,0.0677440887209183,0.0677440887209183,20
cEXT,low,silence,0.16473808158683118,0.16473808158683118,1
cEXT,low,tea,0.1385872840162488,0.1385872840162488,2
cEXT,low,choose,0.13344746055426443,0.13344746055426443,3
cEXT,low,anxiety,0.11688659325276922,0.11688659325276922,4
cEXT,low,quiet,0.10956130304942845,0.10956130304942845,5
cEXT,low,stories,0.10766457092164208,0.10766457092164208,6
cEXT,low,find my,0.10415852075037514,0.10415852075037514,7
cEXT,low,the need,0.10415852075037514,0.10415852075037514,8
cEXT,low,being alone,0.10112144194861215,0.10112144194861215,9
cEXT,low,the thought,0.09844254859051499,0.09844254859051499,10
cEXT,low,that sometimes,0.09844254859051499,0.09844254859051499,11
