trait,feature,condition,n,mean,std
cEXT,word_count_log,human_high,119,6.412141155655814,0.3647677166662924
cEXT,word_count_log,human_low,129,6.4061653652544335,0.3917052660427974
cEXT,avg_sentence_len,human_high,119,18.60807785516945,17.835259532420242
cEXT,avg_sentence_len,human_low,129,24.35419888755167,70.12961220811091
cEXT,avg_word_len,human_high,119,3.9243010779797625,0.16687181660464434
cEXT,avg_word_len,human_low,129,3.958852106862845,0.17994751378173754
cEXT,ttr,human_high,119,0.4348595418990822,0.06399636395180147
cEXT,ttr,human_low,129,0.4412481859601328,0.06684623669208474
cEXT,pron_i,human_high,119,0.10232427694954546,0.02183750241690835
cEXT,pron_i,human_low,129,0.09755524394118213,0.0230537240893436
cEXT,pron_we,human_high,119,0.005558021714140076,0.007756060887902902
cEXT,pron_we,human_low,129,0.003970939474142384,0.005536476251754076
cEXT,pron_you,human_high,119,0.00456783568847573,0.005435272883800751
cEXT,pron_you,human_low,129,0.0049584598973443795,0.006077429956517809
cEXT,pron_3p,human_high,119,0.0383273326695924,0.016365927586710505
cEXT,pron_3p,human_low,129,0.03470830614548758,0.014319155395992779
cEXT,negation,human_high,119,0.010215468376414972,0.004788146752603918
cEXT,negation,human_low,129,0.010966866696028456,0.00563673638101269
cEXT,q_rate,human_high,119,0.05219604194491134,0.07653440665913043
cEXT,q_rate,human_low,129,0.059036901391576996,0.09685953568545971
cEXT,excl_rate,human_high,119,0.04299444779831101,0.08828641770959397
cEXT,excl_rate,human_low,129,0.0617934661498914,0.23679217015426562
cEXT,emo_anger,human_high,119,0.0,0.0
cEXT,emo_anger,human_low,129,0.0,0.0
cEXT,emo_anticipation,human_high,119,0.0,0.0
cEXT,emo_anticipation,human_low,129,0.0,0.0
cEXT,emo_disgust,human_high,119,0.0,0.0
cEXT,emo_disgust,human_low,129,0.0,0.0
cEXT,emo_fear,human_high,119,0.0,0.0
cEXT,emo_fear,human_low,129,0.0,0.0
cEXT,emo_joy,human_high,119,0.0,0.0
cEXT,emo_joy,human_low,129,0.0,0.0
cEXT,emo_sadness,human_high,119,0.0,0.0
cEXT,emo_sadness,human_low,129,0.0,0.0
cEXT,emo_surprise,human_high,119,0.0,0.0
cEXT,emo_surprise,human_low,129,0.0,0.0
cEXT,emo_trust,human_high,119,0.0,0.0
cEXT,emo_trust,human_low,129,0.0,0.0
cEXT,emo_positive,human_high,119,0.0,0.0
cEXT,emo_positive,human_low,129,0.0,0.0
cEXT,emo_negative,human_high,119,0.0,0.0
cEXT,emo_negative,human_low,129,0.0,0.0
cNEU,word_count_log,human_high,124,6.41463171097724,0.37482372856026114
cNEU,word_count_log,human_low,124,6.40343385064263,0.3831089656634248
cNEU,avg_sentence_len,human_high,124,25.486722978081232,71.48636132273342
cNEU,avg_sentence_len,human_low,124,17.70725219336499,17.2530489397961
cNEU,avg_word_len,human_high,124,3.940024253731294,0.16809652333235603
cNEU,avg_word_len,human_low,124,3.944522117759825,0.18094068009779501
cNEU,ttr,human_high,124,0.4335028468913595,0.0702789082837466
cNEU,ttr,human_low,124,0.44286248758322055,0.060136822780852854
cNEU,pron_i,human_high,124,0.10120694994150918,0.022200116595633843
cNEU,pron_i,human_low,124,0.09848027123113923,0.022920362316660867
cNEU,pron_we,human_high,124,0.004334386707393233,0.005929970131126508
cNEU,pron_we,human_low,124,0.005130579229276415,0.007442797608701702
cNEU,pron_you,human_high,124,0.004268622177474866,0.005202585920681468
cNEU,pron_you,human_low,124,0.0052734243845093,0.006267368279976965
cNEU,pron_3p,human_high,124,0.036678019019387255,0.015111078541847338
cNEU,pron_3p,human_low,124,0.036211691306817534,0.015761786881967877
cNEU,negation,human_high,124,0.011404532912412417,0.005637006083649363
cNEU,negation,human_low,124,0.009808100479370264,0.004720970539416768
cNEU,q_rate,human_high,124,0.06183819338889586,0.09628925237579448
cNEU,q_rate,human_low,124,0.04967059105431288,0.07784026798868354
cNEU,excl_rate,human_high,124,0.0728109397771539,0.24603045676602867
cNEU,excl_rate,human_low,124,0.03273499910458,0.06822042219199174
cNEU,emo_anger,human_high,124,0.0,0.0
cNEU,emo_anger,human_low,124,0.0,0.0
cNEU,emo_anticipation,human_high,124,0.0,0.0
cNEU,emo_anticipation,human_low,124,0.0,0.0
cNEU,emo_disgust,human_high,124,0.0,0.0
cNEU,emo_disgust,human_low,124,0.0,0.0
cNEU,emo_fear,human_high,124,0.0,0.0
cNEU,emo_fear,human_low,124,0.0,0.0
cNEU,emo_joy,human_high,124,0.0,0.0
cNEU,emo_joy,human_low,124,0.0,0.0
cNEU,emo_sadness,human_high,124,0.0,0.0
cNEU,emo_sadness,human_low,124,0.0,0.0
cNEU,emo_surprise,human_high,124,0.0,0.0
cNEU,emo_surprise,human_low,124,0.0,0.0
cNEU,emo_trust,human_high,124,0.0,0.0
cNEU,emo_trust,human_low,124,0.0,0.0
cNEU,emo_positive,human_high,124,0.0,0.0
cNEU,emo_positive,human_low,124,0.0,0.0
cNEU,emo_negative,human_high,124,0.0,0.0
cNEU,emo_negative,human_low,124,0.0,0.0
cAGR,word_count_log,human_high,131,6.4072824078009685,0.3526706237985324
cAGR,word_count_log,human_low,117,6.410992600161854,0.40651206726182904
cAGR,avg_sentence_len,human_high,131,19.391442912873238,39.12913543998294
cAGR,avg_sentence_len,human_low,117,24.066443586948182,63.543296058978314
cAGR,avg_word_len,human_high,131,3.929760928667437,0.1739315161295915
cAGR,avg_word_len,human_low,117,3.956282635978328,0.17439145091079888
cAGR,ttr,human_high,131,0.4365269485211056,0.062065119073968826
cAGR,ttr,human_low,117,0.44003650614173573,0.06924115830684645
cAGR,pron_i,human_high,131,0.1010560610321983,0.02322010300426944
cAGR,pron_i,human_low,117,0.09848608059991817,0.021814370615848625
cAGR,pron_we,human_high,131,0.00500791591223127,0.007212703882201386
cAGR,pron_we,human_low,117,0.00442409223627983,0.006155134789109481
cAGR,pron_you,human_high,131,0.004049689893089867,0.005153465723446797
cAGR,pron_you,human_low,117,0.0055786700657373,0.006315084991483871
cAGR,pron_3p,human_high,131,0.03588751420320442,0.015324818532907748
cAGR,pron_3p,human_low,117,0.0370688864942702,0.015547671198783634
cAGR,negation,human_high,131,0.00967721747121524,0.004775086778419687
cAGR,negation,human_low,117,0.011646590186767999,0.005574045399125719
cAGR,q_rate,human_high,131,0.04909116752371878,0.07552935194742674
cAGR,q_rate,human_low,117,0.06321492585769849,0.09916521147794784
cAGR,excl_rate,human_high,131,0.06167503020580115,0.22975049450203738
cAGR,excl_rate,human_low,117,0.042805704823718364,0.1031818854991195
cAGR,emo_anger,human_high,131,0.0,0.0
cAGR,emo_anger,human_low,117,0.0,0.0
cAGR,emo_anticipation,human_high,131,0.0,0.0
cAGR,emo_anticipation,human_low,117,0.0,0.0
cAGR,emo_disgust,human_high,131,0.0,0.0
cAGR,emo_disgust,human_low,117,0.0,0.0
cAGR,emo_fear,human_high,131,0.0,0.0
cAGR,emo_fear,human_low,117,0.0,0.0
cAGR,emo_joy,human_high,131,0.0,0.0
cAGR,emo_joy,human_low,117,0.0,0.0
cAGR,emo_sadness,human_high,131,0.0,0.0
cAGR,emo_sadness,human_low,117,0.0,0.0
cAGR,emo_surprise,human_high,131,0.0,0.0
cAGR,emo_surprise,human_low,117,0.0,0.0
cAGR,emo_trust,human_high,131,0.0,0.0
cAGR,emo_trust,human_low,117,0.0,0.0
cAGR,emo_positive,human_high,131,0.0,0.0
cAGR,emo_positive,human_low,117,0.0,0.0
cAGR,emo_negative,human_high,131,0.0,0.0
cAGR,emo_negative,human_low,117,0.0,0.0
cCON,word_count_log,human_high,125,6.434875752075028,0.39008049144330526
cCON,word_count_log,human_low,123,6.382769598629963,0.36559341927522643
cCON,avg_sentence_len,human_high,125,21.910074897970834,61.169948383058845
cCON,avg_sentence_len,human_low,123,21.278809422869728,40.98335955497417
cCON,avg_word_len,human_high,125,3.9406289101595986,0.17687501030296116
cCON,avg_word_len,human_low,123,3.9439441975199094,0.17234577486282704
cCON,ttr,human_high,125,0.440063843144432,0.06710343235109095
cCON,ttr,human_low,123,0.4362709031040156,0.06392134322065987
cCON,pron_i,human_high,125,0.09932798354537603,0.023207370562362967
cCON,pron_i,human_low,123,0.10036762180680002,0.021962000982722416
cCON,pron_we,human_high,125,0.005135478495387373,0.007034896018606804
cCON,pron_we,human_low,123,0.0043229346684846735,0.0064022128256266955
cCON,pron_you,human_high,125,0.004848363209521318,0.005966206279047
cCON,pron_you,human_low,123,0.0046924257926493655,0.005586453622443143
