essay_id,prompted_trait,prompted_level,prob_cEXT,prob_cNEU,prob_cAGR,prob_cCON,prob_cOPN
B_cEXT_NEUTRAL_000,cEXT,NEUTRAL,0.6925581,0.49897024,0.7485571,0.78574175,0.5743756
B_cNEU_HIGH_000,cNEU,HIGH,0.5445932,0.7638542,0.56254554,0.6791236,0.5593315
B_cEXT_LOW_000,cEXT,LOW,0.43860465,0.547784,0.52619195,0.6625827,0.89798754
B_cNEU_LOW_000,cNEU,LOW,0.6648231,0.4646275,0.7282142,0.7845736,0.6563204
B_cAGR_LOW_000,cAGR,LOW,0.6351089,0.5914554,0.49728003,0.5816469,0.7197644
B_cAGR_HIGH_000,cAGR,HIGH,0.63833576,0.43181494,0.6961846,0.71852267,0.8060987
B_cEXT_HIGH_000,cEXT,HIGH,0.5980819,0.35219058,0.6846755,0.69775724,0.8159133
B_cOPN_HIGH_000,cOPN,HIGH,0.47027746,0.45824003,0.6192413,0.6895842,0.8914747
B_cCON_HIGH_000,cCON,HIGH,0.642731,0.55846137,0.7058868,0.7515245,0.56193537
B_cOPN_LOW_000,cOPN,LOW,0.61966884,0.44762766,0.7821481,0.8200296,0.3189357
B_cCON_LOW_000,cCON,LOW,0.53482515,0.42327306,0.7149798,0.6660205,0.7170791
B_cOPN_NEUTRAL_000,cOPN,NEUTRAL,0.5879533,0.5245181,0.65454876,0.73713595,0.73906785
B_cAGR_NEUTRAL_000,cAGR,NEUTRAL,0.5595941,0.5525613,0.58072966,0.69661033,0.8538385
B_cNEU_NEUTRAL_000,cNEU,NEUTRAL,0.617393,0.4590473,0.70622605,0.7632585,0.7339344
B_cCON_NEUTRAL_000,cCON,NEUTRAL,0.5746831,0.496768,0.69291294,0.7641521,0.7963371
