essay_id,prompted_trait,prompted_level,score_cEXT,score_cNEU,score_cAGR,score_cCON,score_cOPN
B_cEXT_HIGH_007,cEXT,HIGH,0.84191453,0.1983309,0.75105995,0.38349205,0.9739125
B_cEXT_HIGH_006,cEXT,HIGH,0.8625473,0.25515616,0.9065693,0.7373734,0.92087877
B_cEXT_HIGH_001,cEXT,HIGH,0.9596902,0.06120245,0.8893618,0.83711076,0.7952044
B_cEXT_HIGH_000,cEXT,HIGH,0.8959952,0.22087753,0.880043,0.67990255,0.885012
B_cEXT_HIGH_003,cEXT,HIGH,0.8636055,0.13983017,0.7463899,0.6034304,0.934529
B_cEXT_HIGH_005,cEXT,HIGH,0.9800688,0.05529052,0.92881733,0.7882556,0.9734307
B_cEXT_HIGH_004,cEXT,HIGH,0.8200065,0.43736503,0.8349841,0.4136041,0.612723
B_cEXT_HIGH_002,cEXT,HIGH,0.8426638,0.1556345,0.92055184,0.81763,0.6407347
B_cEXT_HIGH_011,cEXT,HIGH,0.8324685,0.12142176,0.94166344,0.8134099,0.95157105
B_cEXT_HIGH_008,cEXT,HIGH,0.83432335,0.22719628,0.87451696,0.80472213,0.86465317
B_cEXT_HIGH_010,cEXT,HIGH,0.8380447,0.24101356,0.8604335,0.72746825,0.837619
B_cEXT_HIGH_014,cEXT,HIGH,0.83831227,0.14531066,0.9402048,0.67081153,0.8443982
B_cEXT_HIGH_009,cEXT,HIGH,0.85032946,0.098196544,0.73089427,0.55755067,0.91283417
B_cEXT_HIGH_012,cEXT,HIGH,0.9717074,0.2155011,0.974685,0.8772979,0.80544376
B_cEXT_HIGH_013,cEXT,HIGH,0.83945984,0.14745027,0.90422165,0.46368402,0.5963494
B_cEXT_HIGH_015,cEXT,HIGH,0.9389569,0.0909393,0.7576804,0.89779407,0.89253443
B_cEXT_HIGH_017,cEXT,HIGH,0.8781681,0.3106083,0.85796195,0.701201,0.9448824
B_cEXT_HIGH_016,cEXT,HIGH,0.898979,0.1069554,0.87302804,0.82251966,0.9779246
B_cEXT_HIGH_019,cEXT,HIGH,0.80086267,0.17428936,0.648951,0.6012008,0.8206518
B_cEXT_HIGH_018,cEXT,HIGH,0.9610052,0.15449257,0.88702697,0.64566684,0.9919734
B_cEXT_HIGH_021,cEXT,HIGH,0.8729552,0.3486607,0.8531739,0.60981756,0.84836763
B_cEXT_HIGH_020,cEXT,HIGH,0.92473423,0.24884757,0.89229995,0.6666301,0.85557795
B_cEXT_HIGH_022,cEXT,HIGH,0.92814666,0.28659752,0.869607,0.53394514,0.7326196
B_cEXT_HIGH_023,cEXT,HIGH,0.9826036,0.1945477,0.8308461,0.8776865,0.98519135
B_cEXT_HIGH_024,cEXT,HIGH,0.90886635,0.49915242,0.94540906,0.6942553,0.5314113
B_cEXT_HIGH_027,cEXT,HIGH,0.8958182,0.15174812,0.9087484,0.81583124,0.17546052
B_cEXT_HIGH_028,cEXT,HIGH,0.8736377,0.17568442,0.8346299,0.52647233,0.8385642
B_cEXT_HIGH_026,cEXT,HIGH,0.9677978,0.24450865,0.8617949,0.80899894,0.85393655
B_cEXT_HIGH_025,cEXT,HIGH,0.74629027,0.30357462,0.90588313,0.5056511,0.88150686
B_cEXT_HIGH_029,cEXT,HIGH,0.8793482,0.06754324,0.8504416,0.6256045,0.95049876
B_cEXT_HIGH_030,cEXT,HIGH,0.87421656,0.2699304,0.96609706,0.8155025,0.5641938
B_cEXT_HIGH_034,cEXT,HIGH,0.9277975,0.17013365,0.7866165,0.81542414,0.7664089
B_cEXT_HIGH_031,cEXT,HIGH,0.64297855,0.58502173,0.6824583,0.42720488,0.8768779
B_cEXT_HIGH_037,cEXT,HIGH,0.94596356,0.16238041,0.9190445,0.88704854,0.66325897
B_cEXT_HIGH_036,cEXT,HIGH,0.8431593,0.30381116,0.9082614,0.81709105,0.9621403
B_cEXT_HIGH_033,cEXT,HIGH,0.86090505,0.10262022,0.9383394,0.52809334,0.6892244
B_cEXT_HIGH_032,cEXT,HIGH,0.8546012,0.05827471,0.8445285,0.63974637,0.9240969
B_cEXT_HIGH_035,cEXT,HIGH,0.9324488,0.37447298,0.82901967,0.57465076,0.9296818
B_cEXT_HIGH_038,cEXT,HIGH,0.9593217,0.2030857,0.85951924,0.67310864,0.8310906
B_cEXT_HIGH_041,cEXT,HIGH,0.93830144,0.52193075,0.93722886,0.7654783,0.714059
B_cEXT_HIGH_040,cEXT,HIGH,0.89304113,0.43571597,0.7930111,0.77314276,0.85818243
B_cEXT_HIGH_043,cEXT,HIGH,0.960272,0.1871562,0.9301037,0.80436087,0.9346408
B_cEXT_HIGH_039,cEXT,HIGH,0.9818584,0.037325423,0.77560586,0.8938789,0.9833867
B_cEXT_HIGH_045,cEXT,HIGH,0.7815009,0.33311534,0.89913416,0.82333,0.71173614
B_cEXT_HIGH_044,cEXT,HIGH,0.8195415,0.27978802,0.89106566,0.5775996,0.70512
B_cEXT_HIGH_042,cEXT,HIGH,0.9770204,0.14043054,0.9473016,0.8600396,0.58960974
B_cEXT_HIGH_046,cEXT,HIGH,0.95726055,0.14457957,0.95791364,0.9255555,0.23746511
B_cEXT_HIGH_047,cEXT,HIGH,0.8244546,0.30826607,0.90047306,0.66417456,0.72676903
B_cEXT_HIGH_048,cEXT,HIGH,0.9389929,0.19600339,0.91539156,0.78663176,0.44826993
B_cEXT_HIGH_053,cEXT,HIGH,0.81169313,0.27021384,0.61214185,0.49580476,0.7955665
B_cEXT_HIGH_052,cEXT,HIGH,0.8825072,0.15042652,0.93967956,0.8179953,0.361503
B_cEXT_HIGH_054,cEXT,HIGH,0.8506525,0.4020331,0.83345014,0.69341743,0.77699834
B_cEXT_HIGH_049,cEXT,HIGH,0.87265533,0.16244897,0.9704049,0.62494326,0.9457283
B_cEXT_HIGH_051,cEXT,HIGH,0.7711565,0.22821504,0.8350414,0.42263055,0.9744698
B_cEXT_HIGH_050,cEXT,HIGH,0.8581438,0.42653897,0.8203793,0.48662025,0.86382484
B_cEXT_HIGH_055,cEXT,HIGH,0.8409176,0.24812162,0.9141248,0.60415584,0.57099825
B_cEXT_HIGH_056,cEXT,HIGH,0.805641,0.06318047,0.88457817,0.61803013,0.87701964
B_cEXT_HIGH_057,cEXT,HIGH,0.82710475,0.2670871,0.8071073,0.7347994,0.4142718
B_cEXT_HIGH_059,cEXT,HIGH,0.7590656,0.30545345,0.88866985,0.46173203,0.9452491
B_cEXT_HIGH_058,cEXT,HIGH,0.90205634,0.09120312,0.8501584,0.90265405,0.94990563
B_cEXT_HIGH_060,cEXT,HIGH,0.90276396,0.18113977,0.8329311,0.6620529,0.9341497
B_cEXT_HIGH_061,cEXT,HIGH,0.8501644,0.27213854,0.9345841,0.60291004,0.99049103
B_cEXT_HIGH_062,cEXT,HIGH,0.94414806,0.045769256,0.7839112,0.8797514,0.9974159
B_cEXT_HIGH_063,cEXT,HIGH,0.9250288,0.083287954,0.93898064,0.78782797,0.8847074
B_cEXT_HIGH_064,cEXT,HIGH,0.81200236,0.50841385,0.7298424,0.56927323,0.95992684
B_cEXT_HIGH_066,cEXT,HIGH,0.910027,0.097524695,0.92417246,0.62244254,0.942206
B_cEXT_HIGH_065,cEXT,HIGH,0.8786144,0.45021835,0.92449266,0.68775237,0.941515
B_cEXT_HIGH_067,cEXT,HIGH,0.85269195,0.2839553,0.9274751,0.7894526,0.44212997
B_cEXT_HIGH_068,cEXT,HIGH,0.8466376,0.28958255,0.7422379,0.44209433,0.99276924
B_cEXT_HIGH_069,cEXT,HIGH,0.93983257,0.050784398,0.89952564,0.93559515,0.71924853
B_cEXT_HIGH_070,cEXT,HIGH,0.8551339,0.11021583,0.8108737,0.64482313,0.9618844
B_cEXT_HIGH_071,cEXT,HIGH,0.79126495,0.1421848,0.8851921,0.8135894,0.62314063
B_cEXT_HIGH_072,cEXT,HIGH,0.94278014,0.1362464,0.91034293,0.77245814,0.8898429
B_cEXT_HIGH_077,cEXT,HIGH,0.94779825,0.22003658,0.8846986,0.78713703,0.94134706
B_cEXT_HIGH_073,cEXT,HIGH,0.9230597,0.38220435,0.86668944,0.74668646,0.6101354
