trait,feature,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
cEXT,word_count_log,human_high_vs_human_low,119,129,0.9830365330739652,0.0016285584001042277
cEXT,avg_sentence_len,human_high_vs_human_low,119,129,0.29995835070483945,0.07628167546088203
cEXT,avg_word_len,human_high_vs_human_low,119,129,0.0472054113875528,-0.14598397498534296
cEXT,ttr,human_high_vs_human_low,119,129,0.5143789724416855,-0.048009901635072634
cEXT,pron_i,human_high_vs_human_low,119,129,0.07338364811306822,0.13171780340042993
cEXT,pron_we,human_high_vs_human_low,119,129,0.026360751583917777,0.1607061429222852
cEXT,pron_you,human_high_vs_human_low,119,129,0.7489288943999639,-0.02338609862549671
cEXT,pron_3p,human_high_vs_human_low,119,129,0.04097226514944808,0.1503485114976223
cEXT,negation,human_high_vs_human_low,119,129,0.49569994993822,-0.050159598723210214
cEXT,q_rate,human_high_vs_human_low,119,129,0.8601749825780316,-0.012572470848804638
cEXT,excl_rate,human_high_vs_human_low,119,129,0.45451190530757146,0.049508175363168525
cEXT,emo_anger,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_anticipation,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_disgust,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_fear,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_joy,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_sadness,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_surprise,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_trust,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_positive,human_high_vs_human_low,119,129,1.0,0.0
cEXT,emo_negative,human_high_vs_human_low,119,129,1.0,0.0
cNEU,word_count_log,human_high_vs_human_low,124,124,0.9372052004082703,0.005853277835587929
cNEU,avg_sentence_len,human_high_vs_human_low,124,124,0.6651157464522521,0.031867845993756506
cNEU,avg_word_len,human_high_vs_human_low,124,124,0.8727074260200025,0.011836628511966702
cNEU,ttr,human_high_vs_human_low,124,124,0.3372806018115738,-0.07056451612903226
cNEU,pron_i,human_high_vs_human_low,124,124,0.3359451089003652,0.07075962539021852
cNEU,pron_we,human_high_vs_human_low,124,124,0.5824475698129579,-0.039802289281997916
cNEU,pron_you,human_high_vs_human_low,124,124,0.19431288543352088,-0.09456295525494277
cNEU,pron_3p,human_high_vs_human_low,124,124,0.8678288397605323,0.012291883454734651
cNEU,negation,human_high_vs_human_low,124,124,0.039923075008035595,0.15101456815816858
cNEU,q_rate,human_high_vs_human_low,124,124,0.15561277195539255,0.10080645161290322
cNEU,excl_rate,human_high_vs_human_low,124,124,0.09612005377377733,0.10997658688865765
cNEU,emo_anger,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_anticipation,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_disgust,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_fear,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_joy,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_sadness,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_surprise,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_trust,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_positive,human_high_vs_human_low,124,124,1.0,0.0
cNEU,emo_negative,human_high_vs_human_low,124,124,1.0,0.0
cAGR,word_count_log,human_high_vs_human_low,131,117,0.832875786193365,-0.015593397272786585
cAGR,avg_sentence_len,human_high_vs_human_low,131,117,0.04387689489728396,-0.1483656292816598
cAGR,avg_word_len,human_high_vs_human_low,131,117,0.20232881741049702,-0.09388660533698702
cAGR,ttr,human_high_vs_human_low,131,117,0.7142383824263773,-0.02701115678214915
cAGR,pron_i,human_high_vs_human_low,131,117,0.352343271091746,0.06850655705617538
cAGR,pron_we,human_high_vs_human_low,131,117,0.4095504699543365,0.059763815489006326
cAGR,pron_you,human_high_vs_human_low,131,117,0.032128690865378486,-0.15632543876818686
cAGR,pron_3p,human_high_vs_human_low,131,117,0.7175485544198659,-0.026684935081881647
cAGR,negation,human_high_vs_human_low,131,117,0.009191051258190348,-0.19175311541723755
cAGR,q_rate,human_high_vs_human_low,131,117,0.18703037325910965,-0.09382136099693351
cAGR,excl_rate,human_high_vs_human_low,131,117,0.6579188885032352,0.029359953024075163
cAGR,emo_anger,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_anticipation,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_disgust,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_fear,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_joy,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_sadness,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_surprise,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_trust,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_positive,human_high_vs_human_low,131,117,1.0,0.0
cAGR,emo_negative,human_high_vs_human_low,131,117,1.0,0.0
cCON,word_count_log,human_high_vs_human_low,125,123,0.21196651274138512,0.09177235772357724
cCON,avg_sentence_len,human_high_vs_human_low,125,123,0.8817762981089504,0.010991869918699188
cCON,avg_word_len,human_high_vs_human_low,125,123,0.8248540606084692,-0.01632520325203252
cCON,ttr,human_high_vs_human_low,125,123,0.7486262368441043,0.023609756097560976
cCON,pron_i,human_high_vs_human_low,125,123,0.5095795857615377,-0.04852032520325203
cCON,pron_we,human_high_vs_human_low,125,123,0.1103996018472867,0.11544715447154472
cCON,pron_you,human_high_vs_human_low,125,123,0.9153419972982795,-0.007804878048780488
cCON,pron_3p,human_high_vs_human_low,125,123,0.9908182038446534,-0.0009105691056910569
cCON,negation,human_high_vs_human_low,125,123,0.24047099078343315,-0.08630894308943089
cCON,q_rate,human_high_vs_human_low,125,123,0.7868233081373666,-0.019252032520325202
cCON,excl_rate,human_high_vs_human_low,125,123,0.7355694413197771,-0.0223739837398374
cCON,emo_anger,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_anticipation,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_disgust,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_fear,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_joy,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_sadness,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_surprise,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_trust,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_positive,human_high_vs_human_low,125,123,1.0,0.0
cCON,emo_negative,human_high_vs_human_low,125,123,1.0,0.0
cOPN,word_count_log,human_high_vs_human_low,128,120,0.7952499333321613,0.019140625
cOPN,avg_sentence_len,human_high_vs_human_low,128,120,0.3602525562939324,0.06731770833333334
cOPN,avg_word_len,human_high_vs_human_low,128,120,0.004407982121720187,0.209375
cOPN,ttr,human_high_vs_human_low,128,120,0.11491775875035799,0.11595052083333333
cOPN,pron_i,human_high_vs_human_low,128,120,0.0060903037651188355,-0.20169270833333333
cOPN,pron_we,human_high_vs_human_low,128,120,0.4719186792512602,0.052083333333333336
cOPN,pron_you,human_high_vs_human_low,128,120,0.014763971407482219,0.17766927083333334
cOPN,pron_3p,human_high_vs_human_low,128,120,0.5976021791632862,-0.0388671875
cOPN,negation,human_high_vs_human_low,128,120,0.33303192937284765,0.07122395833333334
cOPN,q_rate,human_high_vs_human_low,128,120,0.1204716989758785,0.11028645833333334
cOPN,excl_rate,human_high_vs_human_low,128,120,0.7347029289088116,-0.0224609375
cOPN,emo_anger,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_anticipation,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_disgust,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_fear,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_joy,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_sadness,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_surprise,human_high_vs_human_low,128,120,1.0,0.0
cOPN,emo_trust,human_high_vs_human_low,128,120,1.0,0.0
