trait,feature,condition,n,mean,std
openness,word_count_log,humans,290,4.100727503823387,0.6884188475601491
openness,word_count_log,high,325,4.480590753752333,0.046271228463710574
openness,word_count_log,low,325,4.485376433652116,0.04426917654697653
openness,avg_sentence_len,humans,290,23.119287455839178,20.698506456731604
openness,avg_sentence_len,high,325,17.13711721611722,2.2900535863680687
openness,avg_sentence_len,low,325,16.857054945054944,2.2716216947293772
openness,avg_word_len,humans,290,4.45933372669875,0.5366935754348493
openness,avg_word_len,high,325,5.140398057553974,0.3254333715351875
openness,avg_word_len,low,325,5.002489040484151,0.33829742760897796
openness,ttr,humans,290,0.7173321332624868,0.13171204305393133
openness,ttr,high,325,0.7874510063558258,0.03537783793663375
openness,ttr,low,325,0.7632452340565113,0.0331046593848359
openness,pron_i,humans,290,0.08840092015576799,0.05089711109356421
openness,pron_i,high,325,0.08956788995252432,0.03809885318206814
openness,pron_i,low,325,0.09158888288883334,0.0416310500940196
openness,pron_we,humans,290,0.009420905379561454,0.021744214356773046
openness,pron_we,high,325,0.020115337929914198,0.028372837015553584
openness,pron_we,low,325,0.02329314210978692,0.03053559852836713
openness,pron_you,humans,290,0.008158843645790292,0.017718903354237724
openness,pron_you,high,325,3.5778175313059034e-05,0.0006440071556350626
openness,pron_you,low,325,9.786970064938493e-05,0.0010140362966362022
openness,pron_3p,humans,290,0.015865465143340203,0.023623990102287863
openness,pron_3p,high,325,0.016157059082045705,0.018760219799768878
openness,pron_3p,low,325,0.01570448431992973,0.018426681661004075
openness,negation,humans,290,0.003851538623951105,0.010542790078554442
openness,negation,high,325,0.004694572896782883,0.00598378464417598
openness,negation,low,325,0.0032182275912321636,0.005645437478808679
openness,q_rate,humans,290,0.003940886699507389,0.0310612954434022
openness,q_rate,high,325,0.0006153846153846154,0.011076923076923076
openness,q_rate,low,325,0.0,0.0
openness,excl_rate,humans,290,0.0004310344827586207,0.007327586206896552
openness,excl_rate,high,325,0.01787912087912088,0.05489186240832989
openness,excl_rate,low,325,0.00545054945054945,0.029280818646668465
openness,emo_anger,humans,290,0.0,0.0
openness,emo_anger,high,325,0.0,0.0
openness,emo_anger,low,325,0.0,0.0
openness,emo_anticipation,humans,290,0.0,0.0
openness,emo_anticipation,high,325,0.0,0.0
openness,emo_anticipation,low,325,0.0,0.0
openness,emo_disgust,humans,290,0.0,0.0
openness,emo_disgust,high,325,0.0,0.0
openness,emo_disgust,low,325,0.0,0.0
openness,emo_fear,humans,290,0.0,0.0
openness,emo_fear,high,325,0.0,0.0
openness,emo_fear,low,325,0.0,0.0
openness,emo_joy,humans,290,0.0,0.0
openness,emo_joy,high,325,0.0,0.0
openness,emo_joy,low,325,0.0,0.0
openness,emo_sadness,humans,290,0.0,0.0
openness,emo_sadness,high,325,0.0,0.0
openness,emo_sadness,low,325,0.0,0.0
openness,emo_surprise,humans,290,0.0,0.0
openness,emo_surprise,high,325,0.0,0.0
openness,emo_surprise,low,325,0.0,0.0
openness,emo_trust,humans,290,0.0,0.0
openness,emo_trust,high,325,0.0,0.0
openness,emo_trust,low,325,0.0,0.0
openness,emo_positive,humans,290,0.0,0.0
openness,emo_positive,high,325,0.0,0.0
openness,emo_positive,low,325,0.0,0.0
openness,emo_negative,humans,290,0.0,0.0
openness,emo_negative,high,325,0.0,0.0
openness,emo_negative,low,325,0.0,0.0
conscientiousness,word_count_log,humans,290,4.100727503823387,0.6884188475601491
conscientiousness,word_count_log,high,325,4.495595897603454,0.0438441513656415
conscientiousness,word_count_log,low,325,4.506702432161642,0.0426142686692923
conscientiousness,avg_sentence_len,humans,290,23.119287455839178,20.698506456731604
conscientiousness,avg_sentence_len,high,325,17.463179487179485,2.5106475538735213
conscientiousness,avg_sentence_len,low,325,17.29695238095238,2.7504393811017986
conscientiousness,avg_word_len,humans,290,4.45933372669875,0.5366935754348493
conscientiousness,avg_word_len,high,325,5.1034195781475615,0.3220285264743274
conscientiousness,avg_word_len,low,325,4.5414128412266885,0.3279633392982057
conscientiousness,ttr,humans,290,0.7173321332624868,0.13171204305393133
conscientiousness,ttr,high,325,0.7699170922596301,0.036011067789357774
