essay_id,prompted_trait,prompted_level,score_openness,score_conscientiousness,score_extraversion,score_agreeableness,score_neuroticism
B_rv_openness_HIGH_000_labelonly,openness,HIGH,-0.6310508,-0.7819793,-0.9553702,-0.69533145,0.5757287
B_rv_openness_HIGH_005_labelonly,openness,HIGH,-0.7721447,-1.1265373,-1.1051089,-0.6310761,0.5341957
B_rv_openness_HIGH_006_labelonly,openness,HIGH,-0.68234277,-0.77163845,-1.2139527,-0.8754135,0.43125787
B_rv_openness_HIGH_001_labelonly,openness,HIGH,-0.52149403,-0.7980634,-0.939171,-0.4811695,0.33778012
B_rv_openness_HIGH_007_labelonly,openness,HIGH,-0.40696546,-0.63398355,-0.8136806,-0.3524873,0.32754716
B_rv_openness_HIGH_003_labelonly,openness,HIGH,-0.7638307,-0.8427427,-0.92792004,-0.54556763,0.52711487
B_rv_openness_HIGH_002_labelonly,openness,HIGH,-0.9864781,-1.0767581,-1.3517326,-0.7180801,0.36506978
B_rv_openness_HIGH_009_labelonly,openness,HIGH,-0.38949177,-0.693143,-1.0513219,-0.3982959,0.13921747
B_rv_openness_HIGH_008_labelonly,openness,HIGH,-1.0612248,-1.1273485,-1.4069805,-0.85072607,0.51276654
B_rv_openness_HIGH_012_labelonly,openness,HIGH,-0.030564837,-0.26500967,-0.5964245,-0.26334277,0.1816258
B_rv_openness_HIGH_010_labelonly,openness,HIGH,-0.4946234,-0.6312132,-1.0470582,-0.80505455,0.46224836
B_rv_openness_HIGH_013_labelonly,openness,HIGH,-0.5727251,-0.49587843,-1.0071093,-0.3745644,0.17273419
B_rv_openness_HIGH_014_labelonly,openness,HIGH,-0.49155352,-0.45875475,-0.9292461,-0.63524884,0.35003856
B_rv_openness_HIGH_011_labelonly,openness,HIGH,-0.7346902,-0.6905216,-1.0354785,-0.86107504,0.4561392
B_rv_openness_HIGH_015_labelonly,openness,HIGH,-0.51799387,-0.6588673,-0.9417884,-0.57691294,0.44933584
B_rv_openness_HIGH_019_labelonly,openness,HIGH,-0.45100498,-0.40825933,-1.0171009,-0.6867334,0.13316436
B_rv_openness_HIGH_017_labelonly,openness,HIGH,-0.80823565,-0.83731866,-1.1861753,-0.8016317,0.53798497
B_rv_openness_HIGH_016_labelonly,openness,HIGH,-0.45492244,-0.29796016,-0.7364999,-0.5367807,0.26228675
B_rv_openness_HIGH_004_labelonly,openness,HIGH,-0.3871785,-0.43686885,-0.7512138,-0.1769636,0.32204074
B_rv_openness_HIGH_021_labelonly,openness,HIGH,-0.73804814,-0.84686506,-1.0655137,-0.55363154,0.30580643
B_rv_openness_HIGH_025_labelonly,openness,HIGH,-0.8638405,-0.77633476,-1.2523414,-0.8861011,0.48182264
B_rv_openness_HIGH_024_labelonly,openness,HIGH,-0.7686273,-0.9221817,-1.2328821,-0.7462063,0.5514323
B_rv_openness_HIGH_018_labelonly,openness,HIGH,-0.75189453,-0.8784994,-0.9743531,-0.57862425,0.40568453
B_rv_openness_HIGH_022_labelonly,openness,HIGH,-0.59246045,-0.71257114,-1.0514108,-0.5921824,0.5484197
B_rv_openness_HIGH_023_labelonly,openness,HIGH,-0.4765764,-0.52352965,-0.8151304,-0.5197799,0.35490796
B_rv_openness_HIGH_026_labelonly,openness,HIGH,-0.79427046,-0.7090361,-0.938193,-0.70494604,0.4143633
B_rv_openness_HIGH_027_labelonly,openness,HIGH,-0.25407138,-0.37804037,-0.87901944,-0.58187574,0.24575019
B_rv_openness_HIGH_029_labelonly,openness,HIGH,-0.679616,-0.7801918,-0.78325313,-0.5628279,0.506708
B_rv_openness_HIGH_030_labelonly,openness,HIGH,-0.7802819,-0.6293129,-1.1149626,-0.7565166,0.5031504
B_rv_openness_HIGH_032_labelonly,openness,HIGH,-0.3569241,-0.6691177,-1.0341841,-0.5335392,0.31363708
B_rv_openness_HIGH_031_labelonly,openness,HIGH,-0.60093737,-0.6971324,-0.9768726,-0.66585124,0.4161947
B_rv_openness_HIGH_028_labelonly,openness,HIGH,-0.695225,-0.7149842,-0.90057546,-0.6277777,0.27891687
B_rv_openness_HIGH_036_labelonly,openness,HIGH,-0.5514163,-0.65578675,-0.8407549,-0.4922334,0.39730537
B_rv_openness_HIGH_034_labelonly,openness,HIGH,-0.4963501,-0.57463074,-0.98111266,-0.6113442,0.4287389
B_rv_openness_HIGH_035_labelonly,openness,HIGH,-0.67753065,-0.87971246,-1.1583489,-0.5985958,0.4328278
B_rv_openness_HIGH_037_labelonly,openness,HIGH,-0.32556638,-0.397488,-0.86087936,-0.5500509,0.35678867
B_rv_openness_HIGH_038_labelonly,openness,HIGH,-0.91690266,-0.8980071,-1.2318336,-0.6113435,0.3851003
B_rv_openness_HIGH_039_labelonly,openness,HIGH,-0.75277203,-0.8074411,-1.0866717,-0.72688955,0.46073195
B_rv_openness_HIGH_040_labelonly,openness,HIGH,-0.6389246,-0.8119079,-0.8842283,-0.7557806,0.44865775
B_rv_openness_HIGH_042_labelonly,openness,HIGH,-0.4985648,-0.57623947,-0.9783794,-0.32156822,0.444286
B_rv_openness_HIGH_044_labelonly,openness,HIGH,-0.7664466,-0.75326717,-1.177493,-0.79871655,0.50594836
B_rv_openness_HIGH_041_labelonly,openness,HIGH,-0.29261252,-0.58824885,-1.0839503,-0.33532682,0.1660019
B_rv_openness_HIGH_043_labelonly,openness,HIGH,-1.0316739,-1.0653172,-1.1108699,-0.8416184,0.46998635
B_rv_openness_HIGH_033_labelonly,openness,HIGH,-0.8269439,-0.83328736,-1.2331051,-0.7866188,0.49995732
B_rv_openness_HIGH_045_labelonly,openness,HIGH,-0.2967905,-0.54986715,-0.721191,-0.39567783,0.2040739
B_rv_openness_HIGH_020_labelonly,openness,HIGH,-0.37435907,-0.48870552,-0.83032733,-0.30062124,0.281107
B_rv_openness_HIGH_047_labelonly,openness,HIGH,-0.6697351,-0.83296776,-1.1008222,-0.82006824,0.43810743
B_rv_openness_HIGH_050_labelonly,openness,HIGH,-0.3413079,-0.20284079,-0.8144171,-0.25026387,-0.039743204
B_rv_openness_HIGH_049_labelonly,openness,HIGH,-0.73330677,-1.025501,-1.1958516,-0.6401336,0.44010207
B_rv_openness_HIGH_051_labelonly,openness,HIGH,-1.0283663,-1.108766,-1.5508097,-1.1620736,0.507103
B_rv_openness_HIGH_046_labelonly,openness,HIGH,-0.6128559,-0.6566466,-0.75445825,-0.39472708,0.3135089
B_rv_openness_HIGH_053_labelonly,openness,HIGH,-0.25229427,-0.36061922,-0.9065605,-0.34010673,0.18875457
B_rv_openness_HIGH_056_labelonly,openness,HIGH,-0.6582879,-0.71034193,-1.0418507,-0.484292,0.18470596
B_rv_openness_HIGH_048_labelonly,openness,HIGH,-0.24709424,-0.4181463,-0.6519847,-0.4536799,0.2800655
B_rv_openness_HIGH_052_labelonly,openness,HIGH,-0.77829957,-0.79907644,-0.960988,-0.5212023,0.25390592
B_rv_openness_HIGH_054_labelonly,openness,HIGH,-0.2910163,-0.39817834,-0.7023251,-0.21193632,0.39028442
B_rv_openness_HIGH_055_labelonly,openness,HIGH,-0.35278782,-0.63294095,-0.8625141,-0.5023441,0.22012347
B_rv_openness_HIGH_058_labelonly,openness,HIGH,-0.29339448,-0.3189397,-0.9795487,-0.3961223,0.17063297
B_rv_openness_HIGH_061_labelonly,openness,HIGH,-0.401916,-0.22610672,-0.75921804,-0.3509245,0.16485907
B_rv_openness_HIGH_057_labelonly,openness,HIGH,-0.40740648,-0.50334233,-0.8961809,-0.5433228,0.37044063
B_rv_openness_HIGH_060_labelonly,openness,HIGH,-0.43183455,-0.6251232,-0.82557094,-0.57196575,0.40024242
B_rv_openness_HIGH_062_labelonly,openness,HIGH,-0.7208459,-0.69627565,-1.0764235,-0.63576895,0.44488123
B_rv_openness_HIGH_059_labelonly,openness,HIGH,-0.2375202,-0.42596793,-0.7065266,-0.19700281,0.23289882
B_rv_openness_HIGH_063_labelonly,openness,HIGH,-0.25975642,-0.37690184,-0.76155514,-0.23354243,0.34127885
B_rv_openness_HIGH_064_labelonly,openness,HIGH,-0.6523767,-0.8077939,-1.049256,-0.72833955,0.47204325
B_rv_openness_HIGH_065_labelonly,openness,HIGH,-0.35799208,-0.35300747,-0.66536003,-0.18471733,0.25006536
B_rv_openness_HIGH_067_labelonly,openness,HIGH,-0.5280639,-0.6057764,-0.9085484,-0.42354986,0.41769835
B_rv_openness_HIGH_069_labelonly,openness,HIGH,-0.48200345,-0.25232065,-0.7974468,-0.31553373,0.35338262
B_rv_openness_HIGH_068_labelonly,openness,HIGH,-0.7912287,-0.80385584,-1.3369694,-0.8772817,0.42944053
B_rv_openness_HIGH_066_labelonly,openness,HIGH,-0.51323736,-0.6589242,-1.1460377,-0.37599427,0.13772132
B_rv_openness_HIGH_072_labelonly,openness,HIGH,-0.2824274,-0.4565382,-0.85674983,-0.26528785,0.0899193
B_rv_openness_HIGH_071_labelonly,openness,HIGH,-0.9986249,-1.0783906,-1.3091825,-1.1802117,0.5137556
B_rv_openness_HIGH_070_labelonly,openness,HIGH,-0.42486525,-0.48769656,-0.9584035,-0.8300412,0.4445171
B_rv_openness_HIGH_074_labelonly,openness,HIGH,-0.69520855,-0.795192,-0.92692095,-0.7338916,0.5312799
B_rv_openness_HIGH_076_labelonly,openness,HIGH,-0.47484156,-0.5473592,-0.80698544,-0.44676664,0.3882039
B_rv_openness_HIGH_075_labelonly,openness,HIGH,-0.90531117,-0.87050545,-1.1915396,-0.7651659,0.4529961
B_rv_openness_HIGH_077_labelonly,openness,HIGH,-0.76396537,-0.75841546,-1.134559,-0.56674993,0.5063775
B_rv_openness_HIGH_073_labelonly,openness,HIGH,-0.92912114,-0.7499996,-1.0313778,-0.9794651,0.66156197
B_rv_openness_HIGH_080_labelonly,openness,HIGH,0.056741275,-0.40125138,-0.68541485,-0.097349435,0.19544987
B_rv_openness_HIGH_081_labelonly,openness,HIGH,-0.6831449,-0.720139,-0.81862545,-0.5144955,0.43525836
B_rv_openness_HIGH_084_labelonly,openness,HIGH,-0.6825471,-0.81802,-1.1004645,-0.5221282,0.3980844
B_rv_openness_HIGH_083_labelonly,openness,HIGH,-0.90883243,-0.9447822,-1.1630975,-0.7308135,0.5230871
B_rv_openness_HIGH_078_labelonly,openness,HIGH,-0.81665874,-0.77183783,-1.021913,-0.61748254,0.4346107
B_rv_openness_HIGH_082_labelonly,openness,HIGH,-0.66379285,-0.62031037,-0.9348888,-0.5564161,0.42029414
B_rv_openness_HIGH_079_labelonly,openness,HIGH,-0.55132854,-0.59852815,-1.09733,-0.6341717,0.31581214
B_rv_openness_HIGH_085_labelonly,openness,HIGH,-0.41289386,-0.55608106,-0.8738481,-0.5255457,0.29884943
