trait,feature,comparison,n_a,n_b,mann_whitney_p,cliffs_delta
openness,word_count_log,high_vs_low,325,325,0.09559603163515548,-0.07533254437869823
openness,word_count_log,humans_vs_high,290,325,1.4424902129845396e-12,-0.3302917771883289
openness,word_count_log,humans_vs_low,290,325,6.310068874725479e-13,-0.33557559681697613
openness,avg_sentence_len,high_vs_low,325,325,0.2044653378762198,0.05748639053254438
openness,avg_sentence_len,humans_vs_high,290,325,0.2487641558836624,0.05383554376657825
openness,avg_sentence_len,humans_vs_low,290,325,0.07331681090293404,0.08358620689655172
openness,avg_word_len,high_vs_low,325,325,3.981712767385772e-07,0.229803550295858
openness,avg_word_len,humans_vs_high,290,325,1.7784514739474234e-52,-0.7115755968169761
openness,avg_word_len,humans_vs_low,290,325,2.580690498615992e-40,-0.6204137931034482
openness,ttr,high_vs_low,325,325,3.229259040570534e-17,0.38244733727810654
openness,ttr,humans_vs_high,290,325,3.006499150419801e-16,-0.38148541114058354
openness,ttr,humans_vs_low,290,325,4.026140253824645e-09,-0.2745994694960212
openness,pron_i,high_vs_low,325,325,0.4902328720991701,-0.031280473372781066
openness,pron_i,humans_vs_high,290,325,0.24465665357553545,-0.05431299734748011
openness,pron_i,humans_vs_low,290,325,0.12917468657363884,-0.07083289124668435
openness,pron_we,high_vs_low,325,325,0.2154679912080817,-0.051824852071005914
openness,pron_we,humans_vs_high,290,325,1.3422745860917318e-08,-0.2273315649867374
openness,pron_we,humans_vs_low,290,325,4.996283526634534e-11,-0.2664509283819629
openness,pron_you,high_vs_low,325,325,0.3191795803536577,-0.006125443786982249
openness,pron_you,humans_vs_high,290,325,5.110483881086064e-24,0.28019098143236076
openness,pron_you,humans_vs_low,290,325,8.460162118623564e-23,0.2752572944297082
openness,pron_3p,high_vs_low,325,325,0.36835148670018647,0.040302958579881656
openness,pron_3p,humans_vs_high,290,325,0.0030272065839111787,-0.13378249336870027
openness,pron_3p,humans_vs_low,290,325,0.0053125678589859525,-0.1257188328912467
openness,negation,high_vs_low,325,325,0.00036878132032154136,0.13507218934911241
openness,negation,humans_vs_high,290,325,4.420207416723087e-06,-0.1753846153846154
openness,negation,humans_vs_low,290,325,0.1709031356781443,-0.04780901856763926
openness,q_rate,high_vs_low,325,325,0.3188018493188187,0.003076923076923077
openness,q_rate,humans_vs_high,290,325,0.07466479487225394,0.014175066312997347
openness,q_rate,humans_vs_low,290,325,0.017624050190853786,0.017241379310344827
openness,excl_rate,high_vs_low,325,325,0.0005307057685256653,0.06838343195266272
openness,excl_rate,humans_vs_high,290,325,1.0103931254498137e-07,-0.09842970822281168
openness,excl_rate,humans_vs_low,290,325,0.006376306812760834,-0.030514588859416446
openness,emo_anger,high_vs_low,325,325,1.0,0.0
openness,emo_anger,humans_vs_high,290,325,1.0,0.0
openness,emo_anger,humans_vs_low,290,325,1.0,0.0
openness,emo_anticipation,high_vs_low,325,325,1.0,0.0
openness,emo_anticipation,humans_vs_high,290,325,1.0,0.0
openness,emo_anticipation,humans_vs_low,290,325,1.0,0.0
openness,emo_disgust,high_vs_low,325,325,1.0,0.0
openness,emo_disgust,humans_vs_high,290,325,1.0,0.0
openness,emo_disgust,humans_vs_low,290,325,1.0,0.0
openness,emo_fear,high_vs_low,325,325,1.0,0.0
openness,emo_fear,humans_vs_high,290,325,1.0,0.0
openness,emo_fear,humans_vs_low,290,325,1.0,0.0
openness,emo_joy,high_vs_low,325,325,1.0,0.0
openness,emo_joy,humans_vs_high,290,325,1.0,0.0
openness,emo_joy,humans_vs_low,290,325,1.0,0.0
openness,emo_sadness,high_vs_low,325,325,1.0,0.0
openness,emo_sadness,humans_vs_high,290,325,1.0,0.0
openness,emo_sadness,humans_vs_low,290,325,1.0,0.0
openness,emo_surprise,high_vs_low,325,325,1.0,0.0
openness,emo_surprise,humans_vs_high,290,325,1.0,0.0
openness,emo_surprise,humans_vs_low,290,325,1.0,0.0
